! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
Ar                  0     136.501     3.330     0.000     0.000     0.000    ! GRI-Mech
He                  0     148.600     3.758     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
Ne                  0     148.600     3.758     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
N2                  1      97.530     3.621     0.000     1.760     4.000    ! PrimaryTransportLibrary
PDD(1)              2     634.229     9.595     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=823.67 K, Pc=13.55 bar (from Joback method)
TOLUENE(2)          2     460.483     6.212     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=598.03 K, Pc=36.25 bar (from Joback method)
STYRENE(3)          2     477.699     6.313     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=620.39 K, Pc=35.81 bar (from Joback method)
ETHBENZ(4)          2     476.497     6.523     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=618.83 K, Pc=32.39 bar (from Joback method)
BENZ3(5)            2     492.308     6.832     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=639.36 K, Pc=29.12 bar (from Joback method)
BENZ4(6)            2     507.979     7.140     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=659.71 K, Pc=26.33 bar (from Joback method)
BENZ5(7)            2     523.565     7.448     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=679.95 K, Pc=23.91 bar (from Joback method)
BENZ6(8)            2     539.118     7.754     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=700.15 K, Pc=21.82 bar (from Joback method)
BENZ7(9)            2     554.686     8.060     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=720.37 K, Pc=19.98 bar (from Joback method)
